Weight  [mg],Name,Method,N  Area,C  Area,N  Factor,C  Factor,N [%],C [%],C/N  ratio,Info,N  Blank,C  Blank,Prot.  Factor,Prot.  [%],Memo,Date       Time,
4.732,20201020-T01R5-ZEAMX.GR,Plant,2755,59043,0.9989,1.0996,1.3113,43.2544,32.9856,,0,0,0,0,,2025-02-26,15:52:53
3.882,20201020-T01R5-ZEAMX.GR,Plant,2389,48995,0.9989,1.0996,1.3881,43.5321,31.3599,,0,0,0,0,,2025-02-26,16:00:53
3.905,20201020-T01R5-ZEAMX.GR,Plant,2431,49252,0.9989,1.0996,1.404,43.5094,30.9896,,0,0,0,0,,2025-02-26,16:08:52
3.528,20201020-T01R6-ZEAMX.GR,Plant,1834,44379,0.9989,1.0996,1.1766,43.2527,36.7607,,0,0,0,0,,2025-02-26,16:16:52
4.256,20201020-T01R6-ZEAMX.GR,Plant,2318,53228,0.9989,1.0996,1.229,43.2393,35.1821,,0,0,0,0,,2025-02-26,16:24:54
3.19,20201020-T01R6-ZEAMX.GR,Plant,1724,40966,0.9989,1.0996,1.2241,44.0354,35.9733,,0,0,0,0,,2025-02-26,16:32:53
2.924,20201019-T01R1-ZEAMX.ST,Plant,877,38465,0.9989,1.0996,0.6897,45.0023,65.2474,,0,0,0,0,,2025-02-26,16:40:50
2.873,20201019-T01R1-ZEAMX.ST,Plant,848,38214,0.9989,1.0996,0.6791,45.4918,66.9932,,0,0,0,0,,2025-02-26,16:48:50
3.783,20201019-T01R1-ZEAMX.ST,Plant,956,49252,0.9989,1.0996,0.5798,44.9123,77.4638,,0,0,0,0,,2025-02-26,16:56:53
2.872,plant blind,Plant,1834,36215,0.9989,1.0996,1.4451,43.035,29.7799,,0,0,0,0,,2025-02-26,17:04:52
3.596,acetanilide,5mg Standard,16688,73258,0.9979,1.1016,10.36,71.09,6.862,,0,0,0,0,,2025-02-26,17:12:19
5.173,plant blind,Plant,3284,62758,0.9979,1.1016,1.4265,42.1952,29.5792,,0,0,0,0,,2025-02-26,17:20:22
2.954,20201019-T01R2-ZEAMX.ST,Plant,836,39511,0.9979,1.1016,0.6508,45.8868,70.5114,,0,0,0,0,,2025-02-26,17:28:22
3.173,20201019-T01R2-ZEAMX.ST,Plant,1085,41823,0.9979,1.1016,0.7812,45.3137,58.0082,,0,0,0,0,,2025-02-26,17:36:22
3.172,20201019-T01R2-ZEAMX.ST,Plant,1019,41950,0.9979,1.1016,0.7345,45.4695,61.9033,,0,0,0,0,,2025-02-26,17:44:20
3.423,20201019-T01R3-ZEAMX.ST,Plant,1091,44529,0.9979,1.1016,0.7276,44.8173,61.5951,,0,0,0,0,,2025-02-26,17:52:19
3.559,20201019-T01R3-ZEAMX.ST,Plant,1117,46333,0.9979,1.1016,0.7163,44.9079,62.6968,,0,0,0,0,,2025-02-26,18:00:22
4.203,20201019-T01R3-ZEAMX.ST,Plant,1513,54517,0.9979,1.1016,0.8165,44.9558,55.059,,0,0,0,0,,2025-02-26,18:08:21
2.842,20201020-T01R4-ZEAMX.ST,Plant,819,37838,0.9979,1.1016,0.663,45.6015,68.783,,0,0,0,0,,2025-02-26,18:16:23
3.37,20201020-T01R4-ZEAMX.ST,Plant,996,44465,0.9979,1.1016,0.6762,45.4545,67.2248,,0,0,0,0,,2025-02-26,18:24:27
3.349,20201020-T01R4-ZEAMX.ST,Plant,1052,44099,0.9979,1.1016,0.7178,45.3498,63.1813,,0,0,0,0,,2025-02-26,18:32:25
2.797,20201020-T01R5-ZEAMX.ST,Plant,921,36502,0.9979,1.1016,0.7555,44.6345,59.0801,,0,0,0,0,,2025-02-26,18:40:26
3.636,20201020-T01R5-ZEAMX.ST,Plant,1223,46968,0.9979,1.1016,0.7663,44.5784,58.1744,,0,0,0,0,,2025-02-26,18:48:24
3.702,20201020-T01R5-ZEAMX.ST,Plant,1243,47401,0.9979,1.1016,0.7646,44.2,57.8095,,0,0,0,0,,2025-02-26,18:56:25
4.64,20201020-T01R6-ZEAMX.ST,Plant,1504,60148,0.9979,1.1016,0.7354,45.0405,61.2478,,0,0,0,0,,2025-02-26,19:04:29
4.119,20201020-T01R6-ZEAMX.ST,Plant,1492,53647,0.9979,1.1016,0.8218,45.1213,54.9068,,0,0,0,0,,2025-02-26,19:12:30
2.659,20201020-T01R6-ZEAMX.ST,Plant,863,35435,0.9979,1.1016,0.7454,45.524,61.0751,,0,0,0,0,,2025-02-26,19:20:28
3.883,20201019-T02R1-ZEAMX.GR,Plant,1987,48600,0.9979,1.1016,1.1555,43.2385,37.4189,,0,0,0,0,,2025-02-26,19:28:30
4.403,20201019-T02R1-ZEAMX.GR,Plant,2267,54396,0.9979,1.1016,1.1611,42.8164,36.8773,,0,0,0,0,,2025-02-26,19:36:32
4.441,20201019-T02R1-ZEAMX.GR,Plant,2238,54763,0.9979,1.1016,1.1363,42.7439,37.6161,,0,0,0,0,,2025-02-26,19:44:32
4.971,20201019-T02R2-ZEAMX.GR,Plant,2505,61021,0.9979,1.1016,1.1353,42.6667,37.5815,,0,0,0,0,,2025-02-26,19:52:33
4.315,20201019-T02R2-ZEAMX.GR,Plant,2235,53794,0.9979,1.1016,1.1684,43.1929,36.9668,,0,0,0,0,,2025-02-26,20:00:33
3.283,20201019-T02R2-ZEAMX.GR,Plant,1520,41489,0.9979,1.1016,1.0497,43.4325,41.3746,,0,0,0,0,,2025-02-26,20:08:31
4.7,20201019-T02R3-ZEAMX.GR,Plant,2403,58122,0.9979,1.1016,1.1524,42.9319,37.2552,,0,0,0,0,,2025-02-26,20:16:35
4.189,20201019-T02R3-ZEAMX.GR,Plant,2064,52476,0.9979,1.1016,1.1125,43.3725,38.987,,0,0,0,0,,2025-02-26,20:24:35
4.421,20201019-T02R3-ZEAMX.GR,Plant,2216,55134,0.9979,1.1016,1.1304,43.2356,38.2468,,0,0,0,0,,2025-02-26,20:32:35
4.859,plant blind,Plant,3087,59213,0.9979,1.1016,1.4284,42.3256,29.6324,,0,0,0,0,,2025-02-26,20:40:35
3.526,acetanilide,5mg Standard,16394,72573,0.996,1.0905,10.36,71.09,6.862,,0,0,0,0,,2025-02-26,20:48:03
2.826,plant blind,Plant,1807,35600,0.996,1.0905,1.4434,42.6101,29.5207,,0,0,0,0,,2025-02-26,20:56:06
2.633,20201020-T02R4-ZEAMX.GR,Plant,1391,35278,0.996,1.0905,1.1974,45.3026,37.8356,,0,0,0,0,,2025-02-26,21:04:03
4.489,20201020-T02R4-ZEAMX.GR,Plant,2295,58612,0.996,1.0905,1.1506,44.8833,39.0073,,0,0,0,0,,2025-02-26,21:12:05
3.888,20201020-T02R4-ZEAMX.GR,Plant,2049,50703,0.996,1.0905,1.1878,44.6552,37.5949,,0,0,0,0,,2025-02-26,21:20:09
4.689,20201020-T02R5-ZEAMX.GR,Plant,2602,58713,0.996,1.0905,1.2472,43.0453,34.5148,,0,0,0,0,,2025-02-26,21:28:10
3.911,20201020-T02R5-ZEAMX.GR,Plant,2163,49384,0.996,1.0905,1.2453,43.2045,34.6934,,0,0,0,0,,2025-02-26,21:36:13
4.055,20201020-T02R5-ZEAMX.GR,Plant,2273,51263,0.996,1.0905,1.2613,43.3032,34.3311,,0,0,0,0,,2025-02-26,21:44:16
4.187,20201020-T02R6-ZEAMX.GR,Plant,2706,52454,0.996,1.0905,1.4518,42.9399,29.5771,,0,0,0,0,,2025-02-26,21:52:15
4.068,20201020-T02R6-ZEAMX.GR,Plant,2101,50588,0.996,1.0905,1.1634,42.5795,36.5978,,0,0,0,0,,2025-02-26,22:00:17
4.838,20201020-T02R6-ZEAMX.GR,Plant,2578,59616,0.996,1.0905,1.1975,42.3769,35.3869,,0,0,0,0,,2025-02-26,22:08:18
3.265,20201019-T02R1-ZEAMX.ST,Plant,827,43214,0.996,1.0905,0.5814,45.0961,77.5613,,0,0,0,0,,2025-02-26,22:16:18
2.915,20201019-T02R1-ZEAMX.ST,Plant,803,39112,0.996,1.0905,0.6331,45.5534,71.9482,,0,0,0,0,,2025-02-26,22:24:16
3.005,20201019-T02R1-ZEAMX.ST,Plant,736,39925,0.996,1.0905,0.5644,45.1414,79.976,,0,0,0,0,,2025-02-26,22:32:17
2.541,20201019-T02R2-ZEAMX.ST,Plant,931,34426,0.996,1.0905,0.8387,45.7615,54.564,,0,0,0,0,,2025-02-26,22:40:16
3.064,20201019-T02R2-ZEAMX.ST,Plant,1226,40798,0.996,1.0905,0.9091,45.2758,49.803,,0,0,0,0,,2025-02-26,22:48:16
2.676,20201019-T02R2-ZEAMX.ST,Plant,1073,35658,0.996,1.0905,0.914,45.0751,49.3172,,0,0,0,0,,2025-02-26,22:56:17
2.52,20201019-T02R3-ZEAMX.ST,Plant,805,33922,0.996,1.0905,0.7341,45.4385,61.895,,0,0,0,0,,2025-02-26,23:04:15
3.06,20201019-T02R3-ZEAMX.ST,Plant,871,40433,0.996,1.0905,0.6528,44.9149,68.8026,,0,0,0,0,,2025-02-26,23:12:17
2.807,20201019-T02R3-ZEAMX.ST,Plant,726,37663,0.996,1.0905,0.5961,45.4871,76.3135,,0,0,0,0,,2025-02-26,23:20:15
3.312,20201020-T02R4-ZEAMX.ST,Plant,776,43774,0.996,1.0905,0.5392,45.0511,83.5581,,0,0,0,0,,2025-02-26,23:28:16
3.593,20201020-T02R4-ZEAMX.ST,Plant,877,47313,0.996,1.0905,0.5593,44.998,80.4498,,0,0,0,0,,2025-02-26,23:36:18
2.138,20201020-T02R4-ZEAMX.ST,Plant,599,28701,0.996,1.0905,0.6514,45.9665,70.5636,,0,0,0,0,,2025-02-26,23:44:15
3.48,20201020-T02R5-ZEAMX.ST,Plant,975,45566,0.996,1.0905,0.6405,44.6904,69.7709,,0,0,0,0,,2025-02-26,23:52:15
3.017,20201020-T02R5-ZEAMX.ST,Plant,865,40074,0.996,1.0905,0.6572,45.1364,68.6758,,0,0,0,0,,2025-02-27,00:00:14
2.718,20201020-T02R5-ZEAMX.ST,Plant,804,36278,0.996,1.0905,0.6797,45.1811,66.4703,,0,0,0,0,,2025-02-27,00:08:10
3.489,plant blind,Plant,2206,43559,0.996,1.0905,1.4233,42.5488,29.894,,0,0,0,0,,2025-02-27,00:16:11
3.784,acetanilide,5mg Standard,17527,76856,0.9999,1.1039,10.36,71.09,6.862,,0,0,0,0,,2025-02-27,00:23:38
3.106,plant blind,Plant,1993,39103,0.9999,1.1039,1.452,43.2641,29.796,,0,0,0,0,,2025-02-27,00:31:39
3.378,20201020-T02R6-ZEAMX.ST,Plant,792,44690,0.9999,1.1039,0.5414,45.6788,84.3653,,0,0,0,0,,2025-02-27,00:39:40
3.102,20201020-T02R6-ZEAMX.ST,Plant,767,41384,0.9999,1.1039,0.571,45.9422,80.4617,,0,0,0,0,,2025-02-27,00:47:37
4.761,20201020-T02R6-ZEAMX.ST,Plant,1101,61830,0.9999,1.1039,0.5287,45.2475,85.5821,,0,0,0,0,,2025-02-27,00:55:37
2.547,plant blind,Plant,1611,32285,0.9999,1.1039,1.4358,43.9387,30.6021,,0,0,0,0,,2025-02-27,01:03:36
