Run Results Report

 Kellogg Biological Station LTER
 Flow Solution IV
 Inorganic N Analysis

	Operator Name	Cathy
	Operator ID	Cathy

	Result path	Z:\LTERSO~1\03262012.RST
	Sample table path	Z:\TABLES\03262012.tbl
	Method path	Z:\METHODS\ltern.mth
	Date acquired	24-Oct-12
	Time acquired	15:01--------------------------

                                        |------------------------------- NH4 ------------------------------|     |------------------------------- NO3 ------------------------------|
							Mean	Mean					Mean	Mean	
	10:20	108	3-1b	    12563	   0.064					     9879	   0.101				
	10:21	109	3-1c	    16285	   0.099					    10480	   0.108				
	10:22	110	SF-1a	    30227	   0.230					      445	   0.001				
	10:23	111	SF-1b	    32796	   0.254					      691	   0.003				
	10:25	112	SF-1c	    35317	   0.277					     1213	   0.009				
	10:26	15	CCV	   108812	   0.966					    89737	   0.953				
	10:27	15	CCV	   108816	   0.966					    90170	   0.958				
			 (Statistics)				   108814	   0.966	NoRSD				    89953	   0.955	NoRSD
	10:28	0	Blank	       -9	  -0.054	LO				      -59	  -0.005	LO			
	10:29	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	10:30	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	10:32	113	6-1a	    27966	   0.208					     7951	   0.081				
	10:33	114	6-1b	    25523	   0.186					     7144	   0.072				
	10:34	115	6-1c	    28642	   0.215					     8427	   0.086				
	10:35	116	4-1a	    16646	   0.102					     7588	   0.077				
	10:36	117	4-1b	    18159	   0.117					     7366	   0.075				
	10:38	118	4-1c	    20213	   0.136					     8828	   0.090				
	10:39	119	7-1a	    45534	   0.373					     2359	   0.021				
	10:40	120	7-1b	    42625	   0.346					     2249	   0.020				
	10:41	121	7-1c	    45272	   0.371					     2056	   0.018				
	10:42	122	5-1a	    26887	   0.198					     7502	   0.076				
	10:43	123	5-1b	    25943	   0.190					     6759	   0.068				
	10:45	124	5-1c	    23989	   0.171					     6718	   0.068				
	10:46	15	CCV	   108767	   0.966					    88384	   0.938				
	10:47	15	CCV	   108891	   0.967					    89579	   0.951				
			 (Statistics)				   108829	   0.966	NoRSD				    88982	   0.945	NoRSD
	10:48	0	Blank	       -4	  -0.054	LO				       82	  -0.003	LO			
	10:49	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	10:50	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	10:52	125	CF-1a	    20068	   0.134					     5828	   0.058				
	10:53	126	CF-1b	    21830	   0.151					     5844	   0.058				
	10:54	127	CF-1c	    21014	   0.143					     6703	   0.067				
	10:55	128	2-1a	    12157	   0.060					     8494	   0.087				
	10:56	129	2-1b	    14450	   0.082					     8678	   0.089				
	10:57	130	2-1c	    12679	   0.065					     7886	   0.080				
	10:59	131	DF-1a	    24608	   0.177					     2096	   0.018				
	11:00	132	DF-1b	    24071	   0.172					     2302	   0.021				
	11:00	133	DF-1c	    22028	   0.153					     2519	   0.023				
	11:02	134	8-1a	    40342	   0.324					       28	  -0.004	LO			
	11:03	135	8-1b	    43549	   0.355					        4	  -0.004	LO			
	11:04	136	8-1c	    42553	   0.345					       10	  -0.004	LO			
	11:06	15	CCV	   109482	   0.972					    87378	   0.928				
	11:07	15	CCV	   109572	   0.973					    88523	   0.940				
			 (Statistics)				   109527	   0.973	NoRSD				    87951	   0.934	NoRSD
	11:08	0	Blank	        5	  -0.054	LO				       32	  -0.004	LO			
	11:09	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	11:10	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	11:12	137	1-2a	    16204	   0.098					     8076	   0.082				
	11:13	138	1-2b	    13126	   0.069					     7451	   0.075				
	11:14	139	1-2c	    15418	   0.091					     8170	   0.083				
	11:15	140	2-2a	    17531	   0.111					     8267	   0.084				
	11:16	141	2-2b	    17312	   0.109					     9533	   0.098				
	11:17	142	2-2c	    18026	   0.115					     8092	   0.082				
	11:19	143	SF-2a	    29647	   0.224					     1035	   0.007				
	11:20	144	SF-2b	    31603	   0.243					     1099	   0.008				
	11:21	145	SF-2c	    25716	   0.187					     1058	   0.007				
	11:22	146	6-2a	    24091	   0.172					     5521	   0.055				
	11:23	147	6-2b	    25771	   0.188					     5661	   0.056				
	11:24	148	6-2c	    20976	   0.143					     5975	   0.060				
	11:26	15	CCV	   110250	   0.980					    86382	   0.917				
	11:27	15	CCV	   108970	   0.968					    86834	   0.922				
			 (Statistics)				   109610	   0.974	NoRSD				    86608	   0.920	NoRSD
	11:28	0	Blank	      -45	  -0.054	LO				     -395	  -0.008	LO			
	11:29	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL UM			
	11:30	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL UM			
	11:31	149	4-2a	    19985	   0.134					     4999	   0.049				
	11:33	150	4-2b	    23319	   0.165					     5137	   0.051				
	11:34	151	4-2c	    23966	   0.171					     4752	   0.047				
	11:35	152	7-2a	    52918	   0.442					    10938	   0.113				
	11:36	153	7-2b	    40165	   0.323					     8253	   0.084				
	11:37	154	7-2c	    42894	   0.348					     8912	   0.091				
	11:39	155	5-2a	    23682	   0.168					     4326	   0.042				
	11:40	156	5-2b	    25503	   0.185					     4147	   0.040				
	11:41	157	5-2c	    20916	   0.142					     3459	   0.033				
	11:42	158	CF-2a	    16847	   0.104					     6060	   0.061				
	11:43	159	CF-2b	    13897	   0.077					     5446	   0.054				
	11:44	160	CF-2c	    16591	   0.102					     6658	   0.067				
	11:46	15	CCV	   108613	   0.964					    91987	   0.977				
	11:47	15	CCV	   109476	   0.972					    91048	   0.967				
			 (Statistics)				   109045	   0.968	NoRSD				    91518	   0.972	NoRSD
	11:48	0	Blank	      -38	  -0.054	LO				      108	  -0.003	LO			
	11:49	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	11:50	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	11:51	161	3-2a	    16749	   0.103					     8891	   0.091				
	11:53	162	3-2b	    16230	   0.098					     8559	   0.087				
	11:54	163	3-2c	    17275	   0.108					     8255	   0.084				
	11:55	164	DF-2a	    26433	   0.194					     1706	   0.014				
	11:56	165	DF-2b	    25326	   0.184					     1438	   0.011				
	11:57	166	DF-2c	    25239	   0.183					     1309	   0.010				
	11:58	167	8-2a	    41696	   0.337					     1123	   0.008				
	12:00	168	8-2b	    47753	   0.394					     1760	   0.015				
	12:01	169	8-2c	    46378	   0.381					     1638	   0.013				
	12:02	170	1-3a	    10233	   0.042					     8775	   0.090				
	12:03	171	1-3b	    12987	   0.068					     9143	   0.094				
	12:04	172	1-3c	    13451	   0.072					    10327	   0.106				
	12:05	15	CCV	   109601	   0.974					    85695	   0.910				
	12:07	15	CCV	   110764	   0.985					    93944	   0.998				
			 (Statistics)				   110182	   0.979	NoRSD				    89820	   0.954	NoRSD
	12:08	0	Blank	      -41	  -0.054	LO				      260	  -0.001	LO			
	12:09	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL UM			
	12:10	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL UM			
	12:11	173	2-3a	    16511	   0.101					    12506	   0.129				
	12:12	174	2-3b	    14984	   0.087					    11057	   0.114				
	12:14	175	2-3c	    33096	   0.257					    10283	   0.106				
	12:15	176	SF-3a	    30024	   0.228					     5334	   0.053				
	12:16	177	SF-3b	    32816	   0.254					     6115	   0.061				
	12:17	178	SF-3c	    30730	   0.234					     6348	   0.064				
	12:18	179	6-3a	    19389	   0.128					     5476	   0.054				
	12:19	180	6-3b	    20399	   0.138					     5589	   0.056				
	12:21	181	6-3c	    22431	   0.157					     5993	   0.060				
	12:22	182	4-3a	    21221	   0.145					     6269	   0.063				
	12:23	183	4-3b	    21439	   0.147					     5907	   0.059				
	12:24	184	4-3c	    21089	   0.144					     5585	   0.056				
	12:25	15	CCV	   109712	   0.975					    85683	   0.910				
	12:26	15	CCV	   109087	   0.969					    86824	   0.922				
			 (Statistics)				   109399	   0.972	NoRSD				    86253	   0.916	NoRSD
	12:28	0	Blank	      -34	  -0.054	LO				      -14	  -0.004	LO			
	12:29	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	12:30	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	12:31	185	7-3a	    35781	   0.282					     2590	   0.024				
	12:32	186	7-3b	    32099	   0.247					     2536	   0.023				
	12:34	187	7-3c	    30339	   0.231					     2262	   0.020				
	12:35	188	5-3a	    21912	   0.152					     2698	   0.025				
	12:36	189	5-3b	    26657	   0.196					     2967	   0.028				
	12:37	190	5-3c	    25417	   0.185					     2991	   0.028				
	12:38	201	CF-3a	    13670	   0.074					     8464	   0.086				
	12:39	202	CF-3b	    14545	   0.083					     8615	   0.088				
	12:41	203	CF-3c	    17308	   0.109					     9594	   0.098				
	12:42	204	3-3a	    15779	   0.094					     8754	   0.089				
	12:43	205	3-3b	    16951	   0.105					     8597	   0.088				
	12:44	206	3-3c	    14602	   0.083					     7330	   0.074				
	12:45	15	CCV	   109931	   0.977					    83583	   0.887				
	12:46	15	CCV	   109347	   0.971					    86624	   0.920				
			 (Statistics)				   109639	   0.974	NoRSD				    85103	   0.904	NoRSD
	12:48	0	Blank	      -47	  -0.054	LO				       65	  -0.003	LO			
	12:49	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	12:50	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	12:51	207	DF-3a	    16618	   0.102					     6717	   0.068				
	12:52	208	DF-3b	    15358	   0.090					     7413	   0.075				
	12:53	209	DF-3c	    24865	   0.179					     8155	   0.083				
	12:55	210	8-3a	    39861	   0.320					      202	  -0.002	LO			
	12:56	211	8-3b	    34790	   0.272					     -116	  -0.005	LO			
	12:57	212	8-3c	    36829	   0.292					      -59	  -0.005	LO			
	12:58	213	1-4a	     9058	   0.031					     4592	   0.045				
	12:59	214	1-4b	    10220	   0.042					     5264	   0.052				
	13:00	215	1-4c	     9274	   0.033					     4824	   0.047				
	13:02	216	2-4a	     9692	   0.037					     5861	   0.059				
	13:03	217	2-4b	    10458	   0.044					     6413	   0.064				
	13:04	218	2-4c	    13327	   0.071					     6225	   0.062				
	13:05	15	CCV	   109648	   0.974					    82633	   0.877				
	13:06	15	CCV	   108843	   0.966					    95124	   1.010				
			 (Statistics)				   109246	   0.970	NoRSD				    88878	   0.944	NoRSD
	13:07	0	Blank	      -45	  -0.054	LO				      147	  -0.002	LO			
	13:09	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	13:10	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	13:11	219	6-4a	    19000	   0.124					     6941	   0.070				
	13:12	220	6-4b	    20645	   0.140					     6781	   0.068				
	13:13	221	6-4c	    18869	   0.123					     5395	   0.054				
	13:14	222	4-4a	    15132	   0.088					     5205	   0.052				
	13:16	223	4-4b	    15748	   0.094					     5021	   0.050				
	13:17	224	4-4c	    15358	   0.090					     5772	   0.058				
	13:18	225	7-4a	    47570	   0.392					     6100	   0.061				
	13:19	226	7-4b	    48983	   0.405					     7843	   0.080				
	13:20	227	7-4c	    49488	   0.410					     7194	   0.073				
	13:21	228	5-4a	    24652	   0.177					     4336	   0.042				
	13:23	229	5-4b	    27399	   0.203					     4606	   0.045				
	13:24	230	5-4c	    27721	   0.206					     4872	   0.048				
	13:25	15	CCV	   108436	   0.963					    83316	   0.884				
	13:26	15	CCV	   110522	   0.982					    84042	   0.892				
			 (Statistics)				   109479	   0.972	NoRSD				    83679	   0.888	NoRSD
	13:27	0	Blank	      -49	  -0.054	LO				       11	  -0.004	LO			
	13:28	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	13:30	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	13:31	231	3-4a	    14433	   0.082					    12615	   0.131				
	13:32	232	3-4b	    11972	   0.059					    12609	   0.130				
	13:33	233	3-4c	    14812	   0.085					    13909	   0.144				
	13:35	234	8-4a	    54256	   0.455					     1696	   0.014				
	13:36	235	8-4b	    52307	   0.437					     1382	   0.011				
	13:37	236	8-4c	    50431	   0.419					     1575	   0.013				
	13:38	237	1-5a	    13280	   0.071					     4906	   0.048				
	13:39	238	1-5b	    13244	   0.070					     4799	   0.047				
	13:41	239	1-5c	    14461	   0.082					     4835	   0.048				
	13:42	240	2-5a	    14060	   0.078					     5364	   0.053				
	13:43	241	2-5b	    13607	   0.074					     5287	   0.052				
	13:44	242	2-5c	    17972	   0.115					     5623	   0.056				
	13:45	15	CCV	   108801	   0.966					    82345	   0.874				
	13:46	15	CCV	   110317	   0.980					    82815	   0.879				
			 (Statistics)				   109559	   0.973	NoRSD				    82580	   0.877	NoRSD
	13:48	0	Blank	      -49	  -0.054	LO				       13	  -0.004	LO			
	13:49	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	13:50	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	13:51	243	6-5a	    19764	   0.132					     5454	   0.054				
	13:52	244	6-5b	    22795	   0.160					     6703	   0.067				
	13:53	245	6-5c	    18965	   0.124					     5479	   0.054				
	13:55	246	4-5a	    18061	   0.116					     7257	   0.073				
	13:56	247	4-5b	    15867	   0.095					     6476	   0.065				
	13:57	248	4-5c	    17378	   0.109					     6797	   0.068				
	13:58	249	7-5a	    38660	   0.309					     1953	   0.017				
	13:59	250	7-5b	    42721	   0.347					     1721	   0.014				
	14:00	251	7-5c	    44720	   0.366					     1913	   0.016				
	14:02	252	5-5a	    17831	   0.113					     2303	   0.021				
	14:03	253	5-5b	    18391	   0.119					     2469	   0.022				
	14:04	254	5-5c	    16546	   0.101					     2165	   0.019				
	14:05	15	CCV	   109634	   0.974					    83704	   0.889				
	14:06	15	CCV	   109777	   0.975					    84215	   0.894				
			 (Statistics)				   109706	   0.975	NoRSD				    83960	   0.891	NoRSD
	14:08	0	Blank	      -33	  -0.054	LO				       35	  -0.004	LO			
	14:09	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	14:10	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	14:11	255	3-5a	    13397	   0.072					    13219	   0.137				
	14:12	256	3-5b	    14764	   0.085					    15055	   0.157				
	14:13	257	3-5c	    15024	   0.087					    15689	   0.163				
	14:15	258	1-6a	    13938	   0.077					     5960	   0.060				
	14:16	259	1-6b	    16546	   0.101					     6601	   0.066				
	14:17	260	1-6c	    14250	   0.080					     7383	   0.075				
	14:18	261	2-6a	    15487	   0.092					     8199	   0.083				
	14:19	262	2-6b	    13258	   0.071					     8164	   0.083				
	14:20	263	2-6c	    14427	   0.082					     7245	   0.073				
	14:22	264	6-6a	    18801	   0.123					     6213	   0.062				
	14:23	265	6-6b	    20122	   0.135					     7350	   0.074				
	14:24	266	6-6c	    20617	   0.140					     6538	   0.066				
	14:25	15	CCV	   109331	   0.971					    81717	   0.867				
	14:26	15	CCV	   109478	   0.972					    83317	   0.884				
			 (Statistics)				   109404	   0.972	NoRSD				    82517	   0.876	NoRSD
	14:27	0	Blank	      -54	  -0.054	LO				      -20	  -0.004	LO			
	14:29	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	14:30	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	14:31	267	4-6a	    17508	   0.110					     3435	   0.033				
	14:32	268	4-6b	    23187	   0.164					     4021	   0.039				
	14:33	269	4-6c	    24976	   0.180					     3686	   0.035				
	14:34	270	7-6a	    38319	   0.306					     1467	   0.012				
	14:36	271	7-6b	    38757	   0.310					     1455	   0.012				
	14:37	272	7-6c	    34979	   0.274					     1226	   0.009				
	14:38	273	5-6a	    29595	   0.224					     4318	   0.042				
	14:39	274	5-6b	    27466	   0.204					     4995	   0.049				
	14:40	275	5-6c	    27589	   0.205					     4943	   0.049				
	14:42	276	3-6a	    19515	   0.129					     9685	   0.099				
	14:43	277	3-6b	    17105	   0.107					     7798	   0.079				
	14:44	278	3-6c	    17729	   0.113					     8519	   0.087				
	14:45	15	CCV	   108511	   0.963					    80984	   0.860				
	14:46	15	CCV	   109214	   0.970					    81685	   0.867				
			 (Statistics)				   108862	   0.967	NoRSD				    81335	   0.863	NoRSD
	14:47	13	Eff 1.0 NO2 Std	     8913	   0.030					   101785	   1.081				
	14:49	13	Eff 1.0 NO2 Std	     8924	   0.030					   101364	   1.077				
			 (Statistics)				     8919	   0.030	NoRSD				   101575	   1.079	NoRSD
	14:50	5	Eff 1.0 NO3 Std	   112436	   1.000					    81438	   0.864				
	14:51	5	Eff 1.0 NO3 Std	   111705	   0.993					    86474	   0.918				
			 (Statistics)				   112071	   0.997	NoRSD				    83956	   0.891	NoRSD
	14:52	0	Blank	      -74	  -0.054	LO				      134	  -0.003	LO			
	14:53	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	14:54		  User request: Pause Data Collect												
	14:54	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	15:01		  User request: End Run												
	15:01		  End Pass 1												
 
 
*** Calibration Data ***
 

 
Calibration Data for NH4
 
Calibration 1 (Peaks 5-274)
Name	Conc	Height
-----	-----	-----
 
*Cal 0.00 ppm	0.000000	606.628
*Cal 0.00 ppm	0.000000	620.045
*Cal 0.10 ppm	0.100000	32727.432
*Cal 0.10 ppm	0.100000	32436.984
*Cal 0.20 ppm	0.200000	22684.312
*Cal 0.20 ppm	0.200000	22829.941
*Cal 0.50 ppm	0.500000	57542.152
*Cal 0.50 ppm	0.500000	57410.453
*Cal 1.00 ppm	1.000000	108073.961
*Cal 1.00 ppm	1.000000	108341.047
*Cal 2.00 ppm	2.000000	221364.656
*Cal 2.00 ppm	2.000000	220155.125
*Cal 4.00 ppm	4.000000	432107.625
*Cal 4.00 ppm	4.000000	433376.531
 
Fitting Method:	 1st Order
Calib Coef:
y=bx+a
a: (intercept)	5.7219e+03
b:	1.0670e+05
 
Corr Coef:	0.998846
 
Carryover:	0.261% 
 
Calibration Data for NO3
 
Calibration 1 (Peaks 5-274)
Name	Conc	Height
-----	-----	-----
 
*Cal 0.00 ppm	0.000000	35.869
*Cal 0.00 ppm	0.000000	-9.481
*Cal 0.10 ppm	0.100000	12510.616
*Cal 0.10 ppm	0.100000	12302.629
*Cal 0.20 ppm	0.200000	16314.942
*Cal 0.20 ppm	0.200000	16224.643
*Cal 0.50 ppm	0.500000	47028.035
*Cal 0.50 ppm	0.500000	46640.781
*Cal 1.00 ppm	1.000000	92491.367
*Cal 1.00 ppm	1.000000	93207.328
*Cal 2.00 ppm	2.000000	193583.750
*Cal 2.00 ppm	2.000000	190390.422
*Cal 4.00 ppm	4.000000	374178.219
*Cal 4.00 ppm	4.000000	373661.594
 
Fitting Method:	 1st Order
Calib Coef:
y=bx+a
a: (intercept)	3.7343e+02
b:	9.3779e+04
 
Corr Coef:	0.999832
 
Carryover:	0.483% 

